Wed Feb 20 16:29:53 2019
Controller Frequency: 1.00 kHz
Time(s), Time(ns), x, xa, v, va, v_unfilt, f, f_unfilt, xdes, vdes, cmd, LSB, LSF
14187, 737901978, 0.000, 0.030, 0.000, 55.696, 0.000, 9.219, 92.193, 200.000, 0.000, 2.350, 0, 0 
14187, 739183906, 0.000, 0.104, 0.000, 89.386, 0.000, 9.314, 93.139, 200.000, 0.000, 2.350, 0, 0 
14187, 740198021, 0.000, 0.201, 0.000, 102.619, 0.000, 18.429, 92.098, 200.000, 0.000, 2.350, 0, 0 
14187, 741209979, 0.000, 0.304, 0.000, 103.274, 0.000, 27.756, 92.224, 200.000, 0.000, 2.350, 0, 0 
14187, 742221668, 0.000, 0.403, 0.000, 96.372, 0.000, 36.991, 92.476, 200.000, 0.000, 2.350, 0, 0 
14187, 743233066, 0.000, 0.493, 0.000, 84.903, 0.000, 46.207, 92.413, 200.000, 0.000, 2.350, 0, 0 
14187, 744439181, 0.000, 0.571, 0.000, 70.698, 0.000, 55.385, 91.719, 200.000, 0.000, 2.350, 0, 0 
14187, 745558823, 0.000, 0.633, 0.000, 54.746, 0.000, 64.680, 92.256, 200.000, 0.000, 2.350, 0, 0 
14187, 746591276, 0.000, 0.678, 0.000, 37.824, 0.000, 73.868, 92.413, 200.000, 0.000, 2.350, 0, 0 
14187, 747604040, 0.000, 0.707, 0.000, 20.375, 0.000, 82.983, 91.309, 200.000, 0.000, 2.350, 0, 0 
14187, 748617203, 0.000, 0.717, 0.000, 2.447, 0.000, 92.309, 92.161, 200.000, 0.000, 2.350, 1, 1 
14187, 749762616, 0.000, 0.714, 0.000, -8.376, 0.000, 92.243, 92.382, 200.000, 0.000, 2.350, 1, 1 
14187, 750777172, 0.000, 0.702, 0.000, -14.871, 0.000, 92.158, 92.508, 200.000, 0.000, 2.350, 1, 1 
14187, 751790777, 0.000, 0.685, 0.000, -18.820, 0.000, 92.177, 92.413, 200.000, 0.000, 2.350, 1, 1 
14187, 752795016, 0.000, 0.665, 0.000, -21.252, 0.000, 92.230, 92.666, 200.000, 0.000, 2.350, 1, 1 
14187, 753799037, 0.000, 0.643, 0.000, -22.750, 0.000, 92.268, 93.107, 200.000, 0.000, 2.350, 1, 1 
14187, 754888308, 0.000, 0.620, 0.000, -23.604, 0.000, 92.208, 92.256, 200.000, 0.000, 2.350, 1, 1 
14187, 755977568, 0.000, 0.596, 0.000, -24.199, 0.000, 92.316, 91.940, 200.000, 0.000, 2.350, 1, 1 
14187, 757069066, 0.000, 0.571, 0.000, -24.605, 0.000, 92.382, 92.603, 200.000, 0.000, 2.350, 1, 1 
14187, 758166405, 0.000, 0.546, 0.000, -24.793, 0.000, 92.319, 92.445, 200.000, 0.000, 2.350, 1, 1 
14187, 759262887, 0.000, 0.522, 0.000, -25.026, 0.000, 92.480, 92.760, 200.000, 0.000, 2.350, 1, 1 
14187, 760355104, 0.000, 0.496, 0.000, -25.202, 0.000, 92.533, 93.013, 200.000, 0.000, 2.350, 1, 1 
14187, 761447791, 0.000, 0.471, 0.000, -25.325, 0.000, 92.565, 92.950, 200.000, 0.000, 2.350, 1, 1 
14187, 762486654, 0.000, 0.446, 0.000, -25.430, 0.000, 92.612, 92.918, 200.000, 0.000, 2.350, 1, 1 
14187, 763491756, 0.000, 0.420, 0.000, -25.495, 0.000, 92.625, 92.508, 200.000, 0.000, 2.350, 1, 1 
14187, 764495971, 0.000, 0.395, 0.000, -25.598, 0.000, 92.716, 93.171, 200.000, 0.000, 2.350, 1, 1 
14187, 765499191, 0.000, 0.369, 0.000, -25.576, 0.000, 92.618, 92.792, 200.000, 0.000, 2.350, 1, 1 
14187, 766504715, 0.000, 0.344, 0.000, -25.621, 0.000, 92.704, 92.729, 200.000, 0.000, 2.350, 1, 1 
14187, 767607774, 0.000, 0.318, 0.000, -25.708, 0.000, 92.789, 92.729, 200.000, 0.000, 2.350, 1, 1 
14187, 768683635, 0.000, 0.292, 0.000, -25.760, 0.000, 92.798, 92.697, 200.000, 0.000, 2.350, 1, 1 
14187, 769777987, 0.000, 0.266, 0.000, -25.818, 0.000, 92.842, 92.855, 200.000, 0.000, 2.350, 1, 1 
14187, 770782529, 0.000, 0.241, 0.000, -25.852, 0.000, 92.852, 93.013, 200.000, 0.000, 2.350, 1, 1 
14187, 771857412, 0.000, 0.215, 0.000, -25.806, 0.000, 92.776, 92.413, 200.000, 0.000, 2.350, 1, 1 
14187, 772934304, 0.000, 0.189, 0.000, -25.796, 0.000, 92.811, 92.697, 200.000, 0.000, 2.350, 1, 1 
14187, 774016001, 0.000, 0.163, 0.000, -25.755, 0.000, 92.776, 92.855, 200.000, 0.000, 2.350, 1, 1 
14187, 775107430, 0.000, 0.137, 0.000, -25.737, 0.000, 92.795, 92.855, 200.000, 0.000, 2.350, 1, 1 
14187, 776111076, 0.000, 0.112, 0.000, -25.701, 0.000, 92.773, 92.950, 200.000, 0.000, 2.350, 1, 1 
14187, 777203033, 0.000, 0.086, 0.000, -25.683, 0.000, 92.789, 93.044, 200.000, 0.000, 2.350, 1, 1 
14187, 778293889, 0.000, 0.060, 0.000, -25.697, 0.000, 92.830, 93.234, 200.000, 0.000, 2.350, 1, 1 
14187, 779398944, 0.000, 0.035, 0.000, -25.664, 0.000, 92.789, 92.508, 200.000, 0.000, 2.350, 1, 1 
14187, 780499668, 0.000, 0.009, 0.000, -25.714, 0.000, 92.887, 92.950, 200.000, 0.000, 2.350, 1, 1 
14187, 781504619, 0.000, -0.017, 0.000, -25.706, 0.000, 92.849, 92.918, 200.000, 0.000, 2.350, 1, 1 
14187, 782603547, 0.000, -0.043, 0.000, -25.708, 0.000, 92.868, 93.171, 200.000, 0.000, 2.350, 1, 1 
14187, 783701835, 0.000, -0.068, 0.000, -25.733, 0.000, 92.909, 93.076, 200.000, 0.000, 2.350, 1, 1 
14187, 784776535, 0.000, -0.094, 0.000, -25.765, 0.000, 92.940, 92.918, 200.000, 0.000, 2.350, 1, 1 
14187, 785853335, 0.000, -0.120, 0.000, -25.819, 0.000, 92.994, 93.234, 200.000, 0.000, 2.350, 1, 1 
14187, 786937503, 0.000, -0.146, 0.000, -25.836, 0.000, 92.984, 93.076, 200.000, 0.000, 2.350, 1, 1 
14187, 788037916, 0.000, -0.171, 0.000, -25.840, 0.000, 92.988, 92.823, 200.000, 0.000, 2.350, 1, 1 
14187, 789141730, 0.000, -0.197, 0.000, -25.837, 0.000, 92.991, 92.823, 200.000, 0.000, 2.350, 1, 1 
14187, 790244696, 0.000, -0.223, 0.000, -25.897, 0.000, 93.079, 94.117, 200.000, 0.000, 2.350, 1, 1 
14187, 791343599, 0.000, -0.249, 0.000, -25.883, 0.000, 93.025, 93.265, 200.000, 0.000, 2.350, 1, 1 
14187, 792350242, 0.000, -0.275, 0.000, -25.946, 0.000, 93.126, 93.107, 200.000, 0.000, 2.350, 1, 1 
14187, 793444521, 0.000, -0.301, 0.000, -26.010, 0.000, 93.170, 93.202, 200.000, 0.000, 2.350, 1, 1 
14187, 794542992, 0.000, -0.327, 0.000, -26.064, 0.000, 93.199, 93.549, 200.000, 0.000, 2.350, 1, 1 
14187, 795547675, 0.000, -0.353, 0.000, -26.083, 0.000, 93.193, 93.360, 200.000, 0.000, 2.350, 1, 1 
14187, 796554898, 0.000, -0.379, 0.000, -26.198, 0.000, 93.335, 94.148, 200.000, 0.000, 2.350, 1, 1 
14187, 797559440, 0.000, -0.405, 0.000, -26.294, 0.000, 93.379, 94.464, 200.000, 0.000, 2.350, 1, 1 
14187, 798564020, 0.000, -0.432, 0.000, -26.399, 0.000, 93.448, 94.085, 200.000, 0.000, 2.350, 1, 1 
14187, 799568087, 0.000, -0.458, 0.000, -26.514, 0.000, 93.524, 93.202, 200.000, 0.000, 2.350, 1, 1 
14187, 800571987, 0.000, -0.485, 0.000, -26.699, 0.000, 93.682, 93.518, 200.000, 0.000, 2.350, 1, 1 
14187, 801576811, 0.000, -0.512, 0.000, -26.726, 0.000, 93.584, 93.454, 200.000, 0.000, 2.350, 1, 1 
14187, 802582372, 0.000, -0.538, 0.000, -26.739, 0.000, 93.590, 93.265, 200.000, 0.000, 2.350, 1, 1 
14187, 803584489, 0.000, -0.565, 0.000, -26.811, 0.000, 93.682, 93.833, 200.000, 0.000, 2.350, 1, 1 
14187, 804586581, 0.000, -0.592, 0.000, -26.789, 0.000, 93.609, 93.044, 200.000, 0.000, 2.350, 1, 1 
14187, 805588861, 0.000, -0.619, 0.000, -26.866, 0.000, 93.735, 94.022, 200.000, 0.000, 2.350, 1, 1 
14187, 806591424, 0.000, -0.646, 0.000, -26.815, 0.000, 93.622, 93.202, 200.000, 0.000, 2.350, 1, 1 
14187, 807596486, 0.000, -0.672, 0.000, -26.786, 0.000, 93.634, 93.454, 200.000, 0.000, 2.350, 1, 1 
14187, 808687864, 0.000, -0.699, 0.000, -26.645, 0.000, 93.489, 93.265, 200.000, 0.000, 2.350, 1, 1 
14187, 809774925, 0.000, -0.726, 0.000, -26.527, 0.000, 93.458, 93.581, 200.000, 0.000, 2.350, 1, 1 
14187, 810870754, 0.000, -0.752, 0.000, -26.412, 0.000, 93.413, 93.076, 200.000, 0.000, 2.350, 1, 1 
14187, 811965522, 0.000, -0.779, 0.000, -26.376, 0.000, 93.467, 93.549, 200.000, 0.000, 2.350, 1, 1 
14187, 813060122, 0.000, -0.805, 0.000, -26.321, 0.000, 93.435, 93.612, 200.000, 0.000, 2.350, 1, 1 
14187, 814164989, 0.000, -0.831, 0.000, -26.357, 0.000, 93.533, 94.306, 200.000, 0.000, 2.350, 1, 1 
14187, 815266880, 0.000, -0.858, 0.000, -26.273, 0.000, 93.410, 93.297, 200.000, 0.000, 2.350, 1, 1 
14187, 816272063, 0.000, -0.884, 0.000, -26.351, 0.000, 93.584, 93.770, 200.000, 0.000, 2.350, 1, 1 
14187, 817378328, 0.000, -0.910, 0.000, -26.317, 0.000, 93.492, 93.581, 200.000, 0.000, 2.350, 1, 1 
14187, 818382098, 0.000, -0.937, 0.000, -26.353, 0.000, 93.574, 93.833, 200.000, 0.000, 2.350, 1, 1 
14187, 819409645, 0.000, -0.963, 0.000, -26.402, 0.000, 93.618, 94.148, 200.000, 0.000, 2.350, 1, 1 
14187, 820517334, 0.000, -0.989, 0.000, -26.614, 0.000, 93.861, 96.010, 200.000, 0.000, 2.350, 1, 1 
14187, 821624800, 0.000, -1.016, 0.000, -26.608, 0.000, 93.700, 93.833, 200.000, 0.000, 2.350, 1, 1 
14187, 822732770, 0.000, -1.043, 0.000, -26.876, 0.000, 94.057, 94.464, 200.000, 0.000, 2.350, 1, 1 
14187, 823736925, 0.000, -1.070, 0.000, -27.025, 0.000, 94.051, 94.117, 200.000, 0.000, 2.350, 1, 1 
14187, 824833230, 0.000, -1.097, 0.000, -27.145, 0.000, 94.098, 93.738, 200.000, 0.000, 2.350, 1, 1 
14187, 825914372, 0.000, -1.124, 0.000, -27.189, 0.000, 94.073, 93.675, 200.000, 0.000, 2.350, 1, 1 
14187, 826918918, 0.000, -1.151, 0.000, -27.254, 0.000, 94.133, 93.833, 200.000, 0.000, 2.350, 1, 1 
14187, 827923942, 0.000, -1.179, 0.000, -27.267, 0.000, 94.111, 93.707, 200.000, 0.000, 2.350, 1, 1 
14187, 829027169, 0.000, -1.206, 0.000, -27.317, 0.000, 94.174, 94.085, 200.000, 0.000, 2.350, 1, 1 
14187, 830031637, 0.000, -1.233, 0.000, -27.303, 0.000, 94.130, 93.770, 200.000, 0.000, 2.350, 1, 1 
14187, 831058437, 0.000, -1.260, 0.000, -27.200, 0.000, 94.019, 92.729, 200.000, 0.000, 2.350, 1, 1 
14187, 832090006, 0.000, -1.287, 0.000, -27.086, 0.000, 93.965, 94.432, 200.000, 0.000, 2.350, 1, 1 
14187, 833093905, 0.000, -1.314, 0.000, -26.892, 0.000, 93.817, 94.054, 200.000, 0.000, 2.350, 1, 1 
14187, 834108313, 0.000, -1.341, 0.000, -26.768, 0.000, 93.820, 94.117, 200.000, 0.000, 2.350, 1, 1 
14187, 835112182, 0.000, -1.368, 0.000, -26.672, 0.000, 93.805, 94.022, 200.000, 0.000, 2.350, 1, 1 
14187, 836117640, 0.000, -1.395, 0.000, -26.670, 0.000, 93.887, 94.464, 200.000, 0.000, 2.350, 1, 1 
14187, 837239484, 0.000, -1.421, 0.000, -26.628, 0.000, 93.846, 93.707, 200.000, 0.000, 2.350, 1, 1 
14187, 838347608, 0.000, -1.448, 0.000, -26.699, 0.000, 93.978, 94.401, 200.000, 0.000, 2.350, 1, 1 
14187, 839455710, 0.000, -1.475, 0.000, -26.689, 0.000, 93.921, 93.833, 200.000, 0.000, 2.350, 1, 1 
14187, 840564191, 0.000, -1.501, 0.000, -26.726, 0.000, 93.988, 94.180, 200.000, 0.000, 2.350, 1, 1 
14187, 841665668, 0.000, -1.528, 0.000, -26.728, 0.000, 93.972, 93.959, 200.000, 0.000, 2.350, 1, 1 
14187, 842736728, 0.000, -1.555, 0.000, -26.830, 0.000, 94.111, 93.896, 200.000, 0.000, 2.350, 1, 1 
14187, 843836006, 0.000, -1.582, 0.000, -26.876, 0.000, 94.101, 94.275, 200.000, 0.000, 2.350, 1, 1 
14187, 844906415, 0.000, -1.609, 0.000, -26.843, 0.000, 94.035, 93.770, 200.000, 0.000, 2.350, 1, 1 
14187, 846011188, 0.000, -1.635, 0.000, -26.877, 0.000, 94.114, 94.401, 200.000, 0.000, 2.350, 1, 1 
14187, 847018092, 0.000, -1.662, 0.000, -26.854, 0.000, 94.070, 94.212, 200.000, 0.000, 2.350, 1, 1 
14187, 848120025, 0.000, -1.689, 0.000, -26.790, 0.000, 94.016, 93.738, 200.000, 0.000, 2.350, 1, 1 
14187, 849229441, 0.000, -1.716, 0.000, -26.817, 0.000, 94.111, 94.180, 200.000, 0.000, 2.350, 1, 1 
14187, 850341033, 0.000, -1.743, 0.000, -26.787, 0.000, 94.063, 94.369, 200.000, 0.000, 2.350, 1, 1 
14187, 851446926, 0.000, -1.770, 0.000, -26.786, 0.000, 94.095, 94.338, 200.000, 0.000, 2.350, 1, 1 
14187, 852550111, 0.000, -1.796, 0.000, -26.787, 0.000, 94.107, 94.275, 200.000, 0.000, 2.350, 1, 1 
14187, 853658155, 0.000, -1.823, 0.000, -26.841, 0.000, 94.186, 94.685, 200.000, 0.000, 2.350, 1, 1 
14187, 854747819, 0.000, -1.850, 0.000, -26.862, 0.000, 94.183, 94.275, 200.000, 0.000, 2.350, 1, 1 
14187, 855754390, 0.000, -1.877, 0.000, -26.914, 0.000, 94.243, 94.464, 200.000, 0.000, 2.350, 1, 1 
14187, 856837695, 0.000, -1.904, 0.000, -27.000, 0.000, 94.322, 94.748, 200.000, 0.000, 2.350, 1, 1 
14187, 857844330, 0.000, -1.931, 0.000, -27.033, 0.000, 94.309, 94.559, 200.000, 0.000, 2.350, 1, 1 
14187, 858862003, 0.000, -1.958, 0.000, -27.079, 0.000, 94.354, 94.464, 200.000, 0.000, 2.350, 1, 1 
14187, 859869275, 0.000, -1.985, 0.000, -27.168, 0.000, 94.442, 94.527, 200.000, 0.000, 2.350, 1, 1 
14187, 860942124, 0.000, -2.012, 0.000, -27.211, 0.000, 94.439, 94.212, 200.000, 0.000, 2.350, 1, 1 
14187, 862031392, 0.000, -2.040, 0.000, -27.286, 0.000, 94.511, 94.779, 200.000, 0.000, 2.350, 1, 1 
14187, 863037633, 0.000, -2.067, 0.000, -27.273, 0.000, 94.448, 94.275, 200.000, 0.000, 2.350, 1, 1 
14187, 864117837, 0.000, -2.094, 0.000, -27.318, 0.000, 94.527, 94.559, 200.000, 0.000, 2.350, 1, 1 
14187, 865195399, 0.000, -2.122, 0.000, -27.447, 0.000, 94.666, 96.357, 200.000, 0.000, 2.350, 1, 1 
14187, 866204579, 0.000, -2.149, 0.000, -27.399, 0.000, 94.518, 94.590, 200.000, 0.000, 2.350, 1, 1 
14187, 867213367, 0.000, -2.176, 0.000, -27.496, 0.000, 94.688, 94.401, 200.000, 0.000, 2.350, 1, 1 
14187, 868221276, 0.000, -2.204, 0.000, -27.551, 0.000, 94.694, 94.622, 200.000, 0.000, 2.350, 1, 1 
14187, 869253257, 0.000, -2.232, 0.000, -27.630, 0.000, 94.764, 95.473, 200.000, 0.000, 2.350, 1, 1 
14187, 870282861, 0.000, -2.259, 0.000, -27.600, 0.000, 94.675, 94.432, 200.000, 0.000, 2.350, 1, 1 
14187, 871311308, 0.000, -2.287, 0.000, -27.675, 0.000, 94.805, 94.779, 200.000, 0.000, 2.350, 1, 1 
14187, 872342123, 0.000, -2.314, 0.000, -27.719, 0.000, 94.814, 94.653, 200.000, 0.000, 2.350, 1, 1 
14187, 873384573, 0.000, -2.342, 0.000, -27.724, 0.000, 94.798, 94.495, 200.000, 0.000, 2.350, 1, 1 
14187, 874428690, 0.000, -2.370, 0.000, -27.761, 0.000, 94.852, 94.653, 200.000, 0.000, 2.350, 1, 1 
14187, 875457393, 0.000, -2.398, 0.000, -27.770, 0.000, 94.846, 94.653, 200.000, 0.000, 2.350, 1, 1 
14187, 876466406, 0.000, -2.425, 0.000, -27.652, 0.000, 94.701, 94.906, 200.000, 0.000, 2.350, 1, 1 
14187, 877542402, 0.000, -2.453, 0.000, -27.530, 0.000, 94.647, 94.306, 200.000, 0.000, 2.350, 1, 1 
14187, 878613503, 0.000, -2.481, 0.000, -27.519, 0.000, 94.738, 94.716, 200.000, 0.000, 2.350, 1, 1 
14187, 879620016, 0.000, -2.508, 0.000, -27.494, 0.000, 94.726, 94.906, 200.000, 0.000, 2.350, 1, 1 
14187, 880629142, 0.000, -2.535, 0.000, -27.401, 0.000, 94.637, 94.779, 200.000, 0.000, 2.350, 1, 1 
14187, 881663939, 0.000, -2.563, 0.000, -27.420, 0.000, 94.745, 95.379, 200.000, 0.000, 2.350, 1, 1 
14187, 882742973, 0.000, -2.590, 0.000, -27.373, 0.000, 94.682, 94.748, 200.000, 0.000, 2.350, 1, 1 
14187, 883749012, 0.000, -2.618, 0.000, -27.411, 0.000, 94.776, 94.969, 200.000, 0.000, 2.350, 1, 1 
14187, 884826569, 0.000, -2.645, 0.000, -27.430, 0.000, 94.783, 94.779, 200.000, 0.000, 2.350, 1, 1 
14187, 885880821, 0.000, -2.673, 0.000, -27.470, 0.000, 94.830, 94.937, 200.000, 0.000, 2.350, 1, 1 
14187, 886888446, 0.000, -2.700, 0.000, -27.533, 0.000, 94.890, 95.410, 200.000, 0.000, 2.350, 1, 1 
14187, 887964440, 0.000, -2.728, 0.000, -27.525, 0.000, 94.843, 94.906, 200.000, 0.000, 2.350, 1, 1 
14187, 888998225, 0.000, -2.755, 0.000, -27.656, 0.000, 95.025, 95.631, 200.000, 0.000, 2.350, 1, 1 
14187, 890033086, 0.000, -2.783, 0.000, -27.706, 0.000, 95.000, 95.190, 200.000, 0.000, 2.350, 1, 1 
14187, 891041727, 0.000, -2.811, 0.000, -27.758, 0.000, 95.038, 94.843, 200.000, 0.000, 2.350, 1, 1 
14187, 892067964, 0.000, -2.838, 0.000, -27.811, 0.000, 95.076, 94.811, 200.000, 0.000, 2.350, 1, 1 
14187, 893075463, 0.000, -2.866, 0.000, -27.821, 0.000, 95.060, 95.190, 200.000, 0.000, 2.350, 1, 1 
14187, 894081622, 0.000, -2.894, 0.000, -27.841, 0.000, 95.089, 95.410, 200.000, 0.000, 2.350, 1, 1 
14187, 895174752, 0.000, -2.922, 0.000, -27.857, 0.000, 95.104, 95.347, 200.000, 0.000, 2.350, 1, 1 
14187, 896180232, 0.000, -2.950, 0.000, -27.898, 0.000, 95.155, 95.221, 200.000, 0.000, 2.350, 1, 1 
14187, 897187696, 0.000, -2.978, 0.000, -27.941, 0.000, 95.190, 95.158, 200.000, 0.000, 2.350, 1, 1 
14187, 898271021, 0.000, -3.006, 0.000, -27.956, 0.000, 95.186, 95.316, 200.000, 0.000, 2.350, 1, 1 
14187, 899367568, 0.000, -3.034, 0.000, -27.943, 0.000, 95.171, 94.906, 200.000, 0.000, 2.350, 1, 1 
14187, 900376175, 0.000, -3.062, 0.000, -27.907, 0.000, 95.145, 94.969, 200.000, 0.000, 2.350, 1, 1 
14187, 901386819, 0.000, -3.089, 0.000, -27.884, 0.000, 95.155, 95.347, 200.000, 0.000, 2.350, 1, 1 
14187, 902410348, 0.000, -3.117, 0.000, -27.846, 0.000, 95.136, 95.032, 200.000, 0.000, 2.350, 1, 1 
14187, 903464518, 0.000, -3.145, 0.000, -27.805, 0.000, 95.123, 94.369, 200.000, 0.000, 2.350, 1, 1 
14187, 904535626, 0.000, -3.173, 0.000, -27.840, 0.000, 95.212, 95.410, 200.000, 0.000, 2.350, 1, 1 
14187, 905541727, 0.000, -3.201, 0.000, -27.746, 0.000, 95.076, 95.095, 200.000, 0.000, 2.350, 1, 1 
14187, 906611108, 0.000, -3.228, 0.000, -27.651, 0.000, 95.038, 94.653, 200.000, 0.000, 2.350, 1, 1 
14187, 907620834, 0.000, -3.256, 0.000, -27.609, 0.000, 95.070, 95.095, 200.000, 0.000, 2.350, 1, 1 
14187, 908628336, 0.000, -3.284, 0.000, -27.568, 0.000, 95.060, 95.505, 200.000, 0.000, 2.350, 1, 1 
14187, 909691983, 0.000, -3.311, 0.000, -27.496, 0.000, 95.013, 95.253, 200.000, 0.000, 2.350, 1, 1 
14187, 910698532, 0.000, -3.339, 0.000, -27.447, 0.000, 95.016, 94.685, 200.000, 0.000, 2.350, 1, 1 
14187, 911746705, 0.000, -3.366, 0.000, -27.498, 0.000, 95.130, 95.537, 200.000, 0.000, 2.350, 1, 1 
14187, 912817599, 0.000, -3.394, 0.000, -27.446, 0.000, 95.035, 95.253, 200.000, 0.000, 2.350, 1, 1 
14187, 913825694, 0.000, -3.421, 0.000, -27.507, 0.000, 95.164, 96.041, 200.000, 0.000, 2.350, 1, 1 
14187, 914832063, 0.000, -3.449, 0.000, -27.533, 0.000, 95.161, 95.126, 200.000, 0.000, 2.350, 1, 1 
14187, 915838789, 0.000, -3.476, 0.000, -27.625, 0.000, 95.268, 95.568, 200.000, 0.000, 2.350, 1, 1 
14187, 916845441, 0.000, -3.504, 0.000, -27.659, 0.000, 95.253, 95.379, 200.000, 0.000, 2.350, 1, 1 
14187, 917854348, 0.000, -3.532, 0.000, -27.751, 0.000, 95.354, 95.473, 200.000, 0.000, 2.350, 1, 1 
14187, 918932785, 0.000, -3.559, 0.000, -27.820, 0.000, 95.382, 95.473, 200.000, 0.000, 2.350, 1, 1 
14187, 919959682, 0.000, -3.587, 0.000, -27.891, 0.000, 95.429, 95.978, 200.000, 0.000, 2.350, 1, 1 
14187, 920973758, 0.000, -3.615, 0.000, -27.875, 0.000, 95.366, 95.126, 200.000, 0.000, 2.350, 1, 1 
14187, 922031146, 0.000, -3.643, 0.000, -27.988, 0.000, 95.533, 95.505, 200.000, 0.000, 2.350, 1, 1 
14187, 923093054, 0.000, -3.671, 0.000, -27.971, 0.000, 95.436, 94.937, 200.000, 0.000, 2.350, 1, 1 
14187, 924101304, 0.000, -3.699, 0.000, -28.014, 0.000, 95.514, 95.473, 200.000, 0.000, 2.350, 1, 1 
14187, 925164736, 0.000, -3.727, 0.000, -27.932, 0.000, 95.388, 95.316, 200.000, 0.000, 2.350, 1, 1 
14187, 926225370, 0.000, -3.755, 0.000, -27.935, 0.000, 95.467, 95.757, 200.000, 0.000, 2.350, 1, 1 
14187, 927298465, 0.000, -3.783, 0.000, -27.916, 0.000, 95.451, 95.852, 200.000, 0.000, 2.350, 1, 1 
14187, 928307622, 0.000, -3.811, 0.000, -27.906, 0.000, 95.464, 95.600, 200.000, 0.000, 2.350, 1, 1 
14187, 929369287, 0.000, -3.839, 0.000, -27.930, 0.000, 95.514, 95.726, 200.000, 0.000, 2.350, 1, 1 
14187, 930441877, 0.000, -3.867, 0.000, -27.927, 0.000, 95.502, 95.473, 200.000, 0.000, 2.350, 1, 1 
14187, 931513839, 0.000, -3.894, 0.000, -27.901, 0.000, 95.483, 95.537, 200.000, 0.000, 2.350, 1, 1 
14187, 932585512, 0.000, -3.922, 0.000, -27.906, 0.000, 95.521, 95.568, 200.000, 0.000, 2.350, 1, 1 
14187, 933639120, 0.000, -3.950, 0.000, -27.920, 0.000, 95.546, 95.789, 200.000, 0.000, 2.350, 1, 1 
14187, 934647110, 0.000, -3.978, 0.000, -27.970, 0.000, 95.609, 95.789, 200.000, 0.000, 2.350, 1, 1 
14187, 935726394, 0.000, -4.006, 0.000, -28.058, 0.000, 95.694, 96.325, 200.000, 0.000, 2.350, 1, 1 
14187, 936783287, 0.000, -4.034, 0.000, -28.060, 0.000, 95.641, 95.316, 200.000, 0.000, 2.350, 1, 1 
14187, 937837910, 0.000, -4.062, 0.000, -28.202, 0.000, 95.830, 96.641, 200.000, 0.000, 2.350, 1, 1 
14187, 938846694, 0.000, -4.091, 0.000, -28.180, 0.000, 95.704, 95.915, 200.000, 0.000, 2.350, 1, 1 
14187, 939914243, 0.000, -4.119, 0.000, -28.304, 0.000, 95.890, 96.735, 200.000, 0.000, 2.350, 1, 1 
14187, 940984340, 0.000, -4.147, 0.000, -28.306, 0.000, 95.808, 95.726, 200.000, 0.000, 2.350, 1, 1 
14187, 942050985, 0.000, -4.176, 0.000, -28.395, 0.000, 95.931, 95.694, 200.000, 0.000, 2.350, 1, 1 
14187, 943117654, 0.000, -4.204, 0.000, -28.467, 0.000, 95.966, 95.852, 200.000, 0.000, 2.350, 1, 1 
14187, 944187095, 0.000, -4.232, 0.000, -28.556, 0.000, 96.035, 96.420, 200.000, 0.000, 2.350, 1, 1 
14187, 945259442, 0.000, -4.261, 0.000, -28.607, 0.000, 96.041, 96.420, 200.000, 0.000, 2.350, 1, 1 
14187, 946332148, 0.000, -4.290, 0.000, -28.613, 0.000, 96.022, 95.600, 200.000, 0.000, 2.350, 1, 1 
14187, 947405024, 0.000, -4.318, 0.000, -28.708, 0.000, 96.149, 96.767, 200.000, 0.000, 2.350, 1, 1 
14187, 948476824, 0.000, -4.347, 0.000, -28.627, 0.000, 95.985, 94.843, 200.000, 0.000, 2.350, 1, 1 
14187, 949486140, 0.000, -4.376, 0.000, -28.663, 0.000, 96.104, 95.915, 200.000, 0.000, 2.350, 1, 1 
14187, 950495782, 0.000, -4.404, 0.000, -28.584, 0.000, 95.988, 95.820, 200.000, 0.000, 2.350, 1, 1 
14187, 951504600, 0.000, -4.433, 0.000, -28.487, 0.000, 95.937, 96.136, 200.000, 0.000, 2.350, 1, 1 
14187, 952552365, 0.000, -4.461, 0.000, -28.405, 0.000, 95.918, 95.852, 200.000, 0.000, 2.350, 1, 1 
14187, 953614881, 0.000, -4.490, 0.000, -28.438, 0.000, 96.035, 96.578, 200.000, 0.000, 2.350, 1, 1 
14187, 954677274, 0.000, -4.518, 0.000, -28.387, 0.000, 95.956, 95.789, 200.000, 0.000, 2.350, 1, 1 
14187, 955748847, 0.000, -4.547, 0.000, -28.439, 0.000, 96.073, 96.798, 200.000, 0.000, 2.350, 1, 1 
14187, 956820978, 0.000, -4.575, 0.000, -28.357, 0.000, 95.940, 96.104, 200.000, 0.000, 2.350, 1, 1 
14187, 957893185, 0.000, -4.603, 0.000, -28.391, 0.000, 96.057, 96.073, 200.000, 0.000, 2.350, 1, 1 
14187, 958967512, 0.000, -4.632, 0.000, -28.365, 0.000, 96.010, 96.262, 200.000, 0.000, 2.350, 1, 1 
14187, 959976637, 0.000, -4.660, 0.000, -28.417, 0.000, 96.108, 96.010, 200.000, 0.000, 2.350, 1, 1 
14187, 961036419, 0.000, -4.688, 0.000, -28.452, 0.000, 96.123, 95.820, 200.000, 0.000, 2.350, 1, 1 
